x,y,dot,cross,angleDeg,t,qx,qy,bestCoordonatesx,bestCoordonatesy
16.9518,49.4208,0.0406025,-8.4278e-05,-0.118928,208,129,108,16.9518,49.4208
17.0514,49.5957,0.0404205,-8.4194e-05,-0.119344,209,129,108,17.0514,49.5957
17.1511,49.77,0.0402391,-8.41104e-05,-0.119763,210,129,108,17.1511,49.77
17.251,49.9437,0.0400584,-8.4027e-05,-0.120184,211,129,108,17.251,49.9437
17.351,50.1168,0.0398784,-8.39439e-05,-0.120607,212,129,108,17.351,50.1168
17.4512,50.2893,0.0396991,-8.38611e-05,-0.121033,213,129,108,17.4512,50.2893
17.5515,50.4612,0.0395204,-8.37786e-05,-0.12146,214,129,108,17.5515,50.4612
17.6519,50.6325,0.0393423,-8.36964e-05,-0.12189,215,129,108,17.6519,50.6325
17.7525,50.8032,0.039165,-8.36144e-05,-0.122322,216,129,108,17.7525,50.8032
17.8532,50.9733,0.0389883,-8.35328e-05,-0.122757,217,129,108,17.8532,50.9733
17.9541,51.1428,0.0388122,-8.34514e-05,-0.123193,218,129,108,17.9541,51.1428
18.055,51.3117,0.0386368,-8.33703e-05,-0.123632,219,129,108,18.055,51.3117
18.1562,51.48,0.0384621,-8.32896e-05,-0.124074,220,129,108,18.1562,51.48
18.2574,51.6477,0.038288,-8.32091e-05,-0.124517,221,129,108,18.2574,51.6477
18.3588,51.8148,0.0381146,-8.31288e-05,-0.124963,222,129,108,18.3588,51.8148
18.4603,51.9813,0.0379418,-8.30489e-05,-0.125412,223,129,108,18.4603,51.9813
18.562,52.1472,0.0377698,-8.29693e-05,-0.125862,224,129,108,18.562,52.1472
18.6638,52.3125,0.0375983,-8.289e-05,-0.126315,225,129,108,18.6638,52.3125
18.7657,52.4772,0.0374275,-8.28109e-05,-0.126771,226,129,108,18.7657,52.4772
18.8677,52.6413,0.0372574,-8.27321e-05,-0.127228,227,129,108,18.8677,52.6413
18.9699,52.8048,0.0370879,-8.26536e-05,-0.127688,228,129,108,18.9699,52.8048
19.0722,52.9677,0.0369191,-8.25755e-05,-0.128151,229,129,108,19.0722,52.9677
19.1746,53.13,0.036751,-8.24976e-05,-0.128616,230,129,108,19.1746,53.13
19.2772,53.2917,0.0365835,-8.24199e-05,-0.129083,231,129,108,19.2772,53.2917
19.3799,53.4528,0.0364166,-8.23426e-05,-0.129553,232,129,108,19.3799,53.4528
19.4827,53.6133,0.0362504,-8.22656e-05,-0.130025,233,129,108,19.4827,53.6133
19.5857,53.7732,0.0360849,-8.21888e-05,-0.1305,234,129,108,19.5857,53.7732
19.6888,53.9325,0.03592,-8.21124e-05,-0.130977,235,129,108,19.6888,53.9325
19.792,54.0912,0.0357558,-8.20362e-05,-0.131456,236,129,108,19.792,54.0912
19.8953,54.2493,0.0355922,-8.19603e-05,-0.131938,237,129,108,19.8953,54.2493
19.9988,54.4068,0.0354292,-8.18847e-05,-0.132423,238,129,108,19.9988,54.4068
20.1024,54.5637,0.035267,-8.18094e-05,-0.13291,239,129,108,20.1024,54.5637
20.2061,54.72,0.0351053,-8.17344e-05,-0.133399,240,129,108,20.2061,54.72
20.3099,54.8757,0.0349444,-8.16596e-05,-0.133891,241,129,108,20.3099,54.8757
20.4139,55.0308,0.0347841,-8.15852e-05,-0.134386,242,129,108,20.4139,55.0308
20.518,55.1853,0.0346244,-8.1511e-05,-0.134883,243,129,108,20.518,55.1853
20.6222,55.3392,0.0344654,-8.14371e-05,-0.135382,244,129,108,20.6222,55.3392
20.7265,55.4925,0.034307,-8.13636e-05,-0.135884,245,129,108,20.7265,55.4925
20.831,55.6452,0.0341493,-8.12903e-05,-0.136389,246,129,108,20.831,55.6452
20.9355,55.7973,0.0339922,-8.12172e-05,-0.136896,247,129,108,20.9355,55.7973
21.0402,55.9488,0.0338358,-8.11445e-05,-0.137406,248,129,108,21.0402,55.9488
21.1451,56.0997,0.03368,-8.10721e-05,-0.137918,249,129,108,21.1451,56.0997
21.25,56.25,0.0335249,-8.1e-05,-0.138433,250,129,108,21.25,56.25
21.3551,56.3997,0.0333704,-8.09281e-05,-0.13895,251,129,108,21.3551,56.3997
21.4602,56.5488,0.0332166,-8.08565e-05,-0.13947,252,129,108,21.4602,56.5488
21.5655,56.6973,0.0330634,-8.07852e-05,-0.139993,253,129,108,21.5655,56.6973
21.671,56.8452,0.0329109,-8.07143e-05,-0.140518,254,129,108,21.671,56.8452
21.7765,56.9925,0.032759,-8.06436e-05,-0.141046,255,129,108,21.7765,56.9925
21.8821,57.1392,0.0326077,-8.05731e-05,-0.141577,256,129,108,21.8821,57.1392
21.9879,57.2853,0.0324571,-8.0503e-05,-0.14211,257,129,108,21.9879,57.2853
22.0938,57.4308,0.0323072,-8.04332e-05,-0.142645,258,129,108,22.0938,57.4308
22.1998,57.5757,0.0321579,-8.03636e-05,-0.143184,259,129,108,22.1998,57.5757
22.3059,57.72,0.0320092,-8.02944e-05,-0.143725,260,129,108,22.3059,57.72
22.4122,57.8637,0.0318612,-8.02254e-05,-0.144268,261,129,108,22.4122,57.8637
22.5185,58.0068,0.0317138,-8.01567e-05,-0.144815,262,129,108,22.5185,58.0068
22.625,58.1493,0.0315671,-8.00883e-05,-0.145364,263,129,108,22.625,58.1493
22.7315,58.2912,0.031421,-8.00202e-05,-0.145915,264,129,108,22.7315,58.2912
22.8382,58.4325,0.0312756,-7.99524e-05,-0.14647,265,129,108,22.8382,58.4325
22.945,58.5732,0.0311308,-7.98848e-05,-0.147026,266,129,108,22.945,58.5732
23.0519,58.7133,0.0309866,-7.98176e-05,-0.147586,267,129,108,23.0519,58.7133
23.159,58.8528,0.0308431,-7.97506e-05,-0.148148,268,129,108,23.159,58.8528
23.2661,58.9917,0.0307003,-7.96839e-05,-0.148713,269,129,108,23.2661,58.9917
23.3734,59.13,0.030558,-7.96176e-05,-0.149281,270,129,108,23.3734,59.13
23.4807,59.2677,0.0304165,-7.95515e-05,-0.149852,271,129,108,23.4807,59.2677
23.5882,59.4048,0.0302755,-7.94856e-05,-0.150425,272,129,108,23.5882,59.4048
23.6958,59.5413,0.0301352,-7.94201e-05,-0.151,273,129,108,23.6958,59.5413
23.8035,59.6772,0.0299955,-7.93549e-05,-0.151579,274,129,108,23.8035,59.6772
23.9113,59.8125,0.0298565,-7.929e-05,-0.15216,275,129,108,23.9113,59.8125
24.0192,59.9472,0.0297181,-7.92253e-05,-0.152744,276,129,108,24.0192,59.9472
24.1272,60.0813,0.0295804,-7.91609e-05,-0.153331,277,129,108,24.1272,60.0813
24.2353,60.2148,0.0294433,-7.90968e-05,-0.15392,278,129,108,24.2353,60.2148
24.3435,60.3477,0.0293068,-7.90331e-05,-0.154512,279,129,108,24.3435,60.3477
24.4518,60.48,0.029171,-7.89696e-05,-0.155107,280,129,108,24.4518,60.48
24.5603,60.6117,0.0290358,-7.89063e-05,-0.155704,281,129,108,24.5603,60.6117
24.6688,60.7428,0.0289012,-7.88434e-05,-0.156304,282,129,108,24.6688,60.7428
24.7775,60.8733,0.0287673,-7.87808e-05,-0.156907,283,129,108,24.7775,60.8733
24.8862,61.0032,0.028634,-7.87184e-05,-0.157513,284,129,108,24.8862,61.0032
24.9951,61.1325,0.0285014,-7.86564e-05,-0.158121,285,129,108,24.9951,61.1325
25.104,61.2612,0.0283694,-7.85946e-05,-0.158732,286,129,108,25.104,61.2612
25.2131,61.3893,0.028238,-7.85331e-05,-0.159345,287,129,108,25.2131,61.3893
25.3223,61.5168,0.0281073,-7.84719e-05,-0.159962,288,129,108,25.3223,61.5168
25.4315,61.6437,0.0279772,-7.8411e-05,-0.160581,289,129,108,25.4315,61.6437
25.5409,61.77,0.0278478,-7.83504e-05,-0.161203,290,129,108,25.5409,61.77
25.6503,61.8957,0.0277189,-7.829e-05,-0.161827,291,129,108,25.6503,61.8957
25.7599,62.0208,0.0275907,-7.823e-05,-0.162454,292,129,108,25.7599,62.0208
25.8696,62.1453,0.0274632,-7.81702e-05,-0.163084,293,129,108,25.8696,62.1453
25.9793,62.2692,0.0273363,-7.81107e-05,-0.163717,294,129,108,25.9793,62.2692
26.0892,62.3925,0.02721,-7.80516e-05,-0.164352,295,129,108,26.0892,62.3925
26.1992,62.5152,0.0270843,-7.79927e-05,-0.16499,296,129,108,26.1992,62.5152
